mois_traitement,code_region_residence,lignes_agregees,remboursement_part_legale_eur,depense_prefiltree_eur
202501,99,3115959,2280965340.320000,661475481.590000
202501,11,4142722,1710740931.140000,2250254240.780000
202501,84,3338674,1234500056.130000,1492199261.910000
202501,93,3050123,1194688794.920000,1406628897.430000
202501,76,3232914,1185914952.340000,1393327742.640000
202501,75,2962535,1056506814.980000,1233454549.450000
202501,32,2739847,969595121.820000,1139349022.230000
202501,44,3086061,883768032.290000,1126820087.240000
202501,52,2168156,545507272.200000,657229551.680000
202501,28,1980079,537993340.420000,621559711.530000
202501,53,1833919,516170439.360000,604337442.590000
202501,27,1922467,431950577.930000,518856348.340000
202501,5,1276470,404021827.930000,474739932.580000
202501,24,1790333,389735044.380000,468671516.760000
