mois_traitement,code_prestation,remboursement_part_legale_eur,quantite_prefiltree
202501,3313,1514760560.400000,104574437.000000
202501,2111,728271584.310000,905632.000000
202501,7111,696380511.720000,809141.000000
202501,3311,674070023.370000,1262733.000000
202501,6111,592742929.820000,17341095.000000
202501,1110,482813052.510000,20589468.000000
202501,1352,430125393.640000,9720645.000000
202501,6112,417343103.940000,12512547.000000
202501,6115,399330145.250000,6813189.000000
202501,3111,327488672.300000,59003579.000000
202501,3211,325521237.950000,15925290.000000
202501,8111,302182214.530000,19059.000000
202501,4214,249558324.730000,2019134.000000
202501,1351,223380601.580000,7455814.000000
202501,2351,214805813.480000,1329304.000000
202501,3514,213473969.010000,4138056.000000
202501,1324,181373083.230000,3572077.000000
202501,6122,172852764.120000,3008027.000000
202501,3512,171218258.400000,3899817.000000
202501,3317,168518139.430000,95530.000000
202501,3511,160126175.460000,3310629.000000
202501,1321,156336983.070000,801437.000000
202501,1103,148872040.080000,3155790.000000
202501,4212,145764087.860000,748741.000000
202501,3386,128160231.980000,159549646.000000
202501,3107,123321401.830000,6733688.000000
202501,3320,119724617.050000,59534.000000
202501,2192,118301848.190000,781.000000
202501,3106,115831521.530000,4010142.000000
202501,3312,114366321.640000,20940649.000000
202501,8113,107904783.730000,401.000000
202501,3161,106364870.550000,6564407.000000
202501,2211,104546185.660000,146267.000000
202501,2110,97478016.310000,295451.000000
202501,1842,90702961.580000,36172206.000000
202501,2113,90313208.130000,344887.000000
202501,6121,89811142.710000,1553785.000000
202501,1112,84850272.920000,4134121.000000
202501,1848,81715951.570000,23926909.000000
202501,3551,79397340.370000,148621.000000
202501,1451,78465457.380000,2191958.000000
202501,4213,77887044.040000,891454.000000
202501,3108,76875154.910000,5832309.000000
202501,2200,71246977.760000,234.000000
202501,1323,69556719.850000,789097.000000
202501,3366,68184176.190000,22880361.000000
202501,3132,62713627.680000,2374972.000000
202501,3515,60178794.700000,3206810.000000
202501,2160,58442789.000000,977.000000
202501,6117,58377764.100000,1967356.000000
202501,2161,56621777.570000,1431.000000
202501,6212,53670645.180000,788292.000000
202501,3148,52326954.980000,2554626.000000
202501,1424,52188934.040000,480107.000000
202501,1453,51587452.940000,3518299.000000
202501,2132,44618758.800000,158830.000000
202501,6118,43111763.810000,1475765.000000
202501,3157,41444626.730000,2458999.000000
202501,3152,41084025.620000,3634628.000000
202501,1113,40992176.290000,1015263.000000
202501,3120,40546384.660000,6176497.000000
202501,2352,40364849.140000,431017.000000
202501,3521,32222094.230000,1310686.000000
202501,4232,30273190.320000,192594.000000
202501,1111,29451765.460000,1553140.000000
202501,1325,28952964.500000,644038.000000
202501,3545,28846435.780000,56307.000000
202501,2251,28018473.880000,289792.000000
202501,1353,27206997.960000,2252345.000000
202501,7112,26194364.530000,64440.000000
202501,2135,24718377.880000,89730.000000
202501,3122,24140523.830000,1948255.000000
202501,1911,24106721.450000,703792.000000
202501,1210,24077356.250000,878037.000000
202501,3364,24067760.330000,54304500.000000
202501,3365,23861153.970000,18686355.000000
202501,3116,23405140.570000,19519772.000000
202501,3133,23109949.140000,1381790.000000
202501,3522,23087122.440000,968644.000000
202501,2213,22389872.140000,54633.000000
202501,3163,22040723.290000,2031119.000000
202501,1192,21141535.330000,1108193.000000
202501,1470,20135615.830000,415216.000000
202501,3146,18489461.430000,1046112.000000
202501,1927,18257628.610000,447.000000
202501,1454,18125807.450000,1234870.000000
202501,1088,17529987.350000,1295.000000
202501,3117,17513164.210000,3913065.000000
202501,3390,17326505.040000,7668218.000000
202501,3165,16228572.640000,1451267.000000
202501,2239,16174537.000000,237.000000
202501,1126,16095905.170000,3894580.000000
202501,3341,16052518.930000,8093011.000000
202501,2152,15644418.840000,51856.000000
202501,3336,15452340.940000,6568.000000
202501,1214,15444644.700000,258307.000000
202501,1812,15184917.290000,29276718.000000
202501,7113,15144541.050000,11059.000000
202501,4511,15088594.810000,5353.000000
202501,2169,14670073.510000,335.000000
202501,1811,14449272.480000,42688329.000000
202501,3561,13317274.980000,28942.000000
202501,3318,12429742.210000,12083.000000
202501,1401,12340264.410000,151307.000000
202501,4231,12047730.700000,2394.000000
202501,2151,11940446.150000,15734.000000
202501,3588,11788056.050000,43123.000000
202501,3385,11753513.060000,25951856.000000
202501,3589,11697227.170000,42825.000000
202501,3552,11658782.150000,5753.000000
202501,2148,11337949.370000,110942.000000
202501,2153,11310006.650000,30298.000000
202501,3513,11186501.730000,179340.000000
202501,1412,10526393.550000,73447.000000
202501,1224,10155142.770000,1068531.000000
202501,2263,9568895.470000,922.000000
202501,1418,9539704.890000,167271.000000
202501,1354,9276497.140000,62390.000000
202501,8119,9235426.380000,28.000000
202501,1991,9049125.780000,27404.000000
202501,1195,8967254.730000,2629.000000
202501,3155,8305821.350000,712501.000000
202501,3330,8132995.350000,40538.000000
202501,3162,8028846.260000,695305.000000
202501,1109,7866652.330000,358648.000000
202501,4233,7825123.450000,49900.000000
202501,8226,7755189.510000,0.000000
202501,3544,7745485.870000,22216.000000
202501,1933,7577468.760000,245212.000000
202501,1417,7545856.660000,99524.000000
202501,1101,7418808.460000,122064.000000
202501,3164,7276028.320000,621906.000000
202501,3326,7134054.830000,181569.000000
202501,3134,7007789.070000,227909.000000
202501,1476,6756895.710000,89476.000000
202501,3361,6734550.000000,35445.000000
202501,3154,6646007.430000,373938.000000
202501,1091,6584113.620000,190734.000000
202501,8118,6536986.430000,396.000000
202501,1114,6461426.740000,152233.000000
202501,3577,6373757.440000,1379292.000000
202501,4331,6367462.980000,52227.000000
202501,1041,6331373.950000,192280.000000
202501,2112,6279748.750000,35685.000000
202501,4215,6216052.560000,161870.000000
202501,1046,6210622.390000,193983.000000
202501,3223,6012089.180000,1968921.000000
202501,3160,5934408.960000,538917.000000
202501,3381,5847549.360000,48785.000000
202501,6126,5828260.750000,3021.000000
202501,1102,5691478.390000,101040.000000
202501,1312,5618926.090000,234611.000000
202501,3151,5577293.320000,407186.000000
202501,1903,5417184.390000,1529718.000000
202501,1121,5405537.060000,265306.000000
202501,1090,5263118.580000,117021.000000
202501,8115,5143234.140000,8.000000
202501,9202,5095625.090000,163012.000000
202501,1048,5091530.770000,84689.000000
202501,1472,5059480.750000,92077.000000
202501,6215,5019772.930000,79052.000000
202501,3352,4992458.290000,9879.000000
202501,1107,4928245.210000,95563.000000
202501,1465,4766922.900000,73536.000000
202501,1935,4698735.030000,243778.000000
202501,1116,4684482.840000,1548217.000000
202501,2303,4589800.760000,23896.000000
202501,1420,4566258.520000,69491.000000
202501,3125,4557678.870000,349675.000000
202501,1140,4317215.160000,110157.000000
202501,3331,4308515.120000,560129.000000
202501,2138,4275549.170000,6981.000000
202501,3518,4247084.340000,320231.000000
202501,1410,4220649.280000,68485.000000
202501,2137,4209785.870000,5300.000000
202501,1104,4209168.430000,79239.000000
202501,2347,4198740.000000,24946.000000
202501,3597,4135341.880000,50251.000000
202501,1640,4131090.000000,178.000000
202501,1415,4110872.230000,49586.000000
202501,3384,4100293.160000,13339138.000000
202501,1402,4034266.040000,40318.000000
202501,3586,4015168.830000,15363.000000
202501,3587,4015035.430000,15378.000000
202501,2136,3982090.930000,16369.000000
202501,1419,3666728.040000,26331.000000
202501,2179,3622600.890000,395.000000
202501,4330,3619955.630000,91.000000
202501,1845,3607297.820000,918125.000000
202501,1042,3582685.520000,128171.000000
202501,3153,3548036.630000,289453.000000
202501,6221,3523379.660000,1815.000000
202501,1843,3498857.420000,983813.000000
202501,1408,3387548.040000,45594.000000
202501,4219,3343061.880000,22471.000000
202501,1082,3341085.690000,94988.000000
202501,1066,3303351.000000,3993.000000
202501,3599,3189404.970000,377466.000000
202501,1201,3169129.600000,294015.000000
202501,1083,3119383.140000,75921.000000
202501,2194,3115579.690000,193.000000
202501,1202,3091201.600000,86634.000000
202501,1992,3080745.390000,38893.000000
202501,3542,3061439.640000,15969.000000
202501,3508,3059214.540000,171827.000000
202501,3360,3026956.070000,502263.000000
202501,1079,2998297.130000,78282.000000
202501,3517,2941987.710000,3030.000000
202501,1043,2893506.720000,115394.000000
202501,1322,2887868.380000,10340.000000
202501,2391,2881548.800000,56493.000000
202501,2156,2881519.800000,47541.000000
202501,3322,2823290.660000,585500.000000
202501,2344,2797827.000000,12245.000000
202501,1471,2734593.110000,44659.000000
202501,9421,2725341.760000,90863.000000
202501,4323,2677616.850000,150.000000
202501,2159,2673830.950000,82821.000000
202501,2264,2669855.000000,503.000000
202501,2336,2644360.640000,12631.000000
202501,2339,2628874.390000,11564.000000
202501,2155,2589099.150000,36582.000000
202501,3112,2566471.530000,282036.000000
202501,3324,2557739.810000,21948.000000
202501,3159,2533726.100000,217622.000000
202501,1473,2520257.530000,45266.000000
202501,3353,2491063.930000,15527.000000
202501,6120,2463555.480000,42648.000000
202501,1331,2415691.860000,182136.000000
202501,1071,2366890.830000,33578.000000
202501,8112,2288513.070000,191.000000
202501,3351,2282053.680000,1679.000000
202501,3510,2266763.250000,308288.000000
202501,1191,2244081.780000,92616.000000
202501,3380,2240167.220000,7169517.000000
202501,1409,2215618.910000,39603.000000
202501,3130,2185689.540000,48642.000000
202501,3172,2181196.190000,56029.000000
202501,1994,2177933.310000,12926.000000
202501,1930,2134924.530000,257233.000000
202501,2116,2128013.040000,7036.000000
202501,1627,2114000.000000,133.000000
202501,3415,2110138.970000,351857.000000
202501,6235,2092538.110000,10620.000000
202501,1901,2080420.710000,455925.000000
202501,1168,2079857.970000,43611.000000
202501,2392,2077097.460000,68968.000000
202501,1044,2041034.090000,89548.000000
202501,2294,1955784.400000,85.000000
202501,1939,1944657.000000,700670.000000
202501,8121,1917069.180000,196.000000
202501,2108,1913517.960000,15422.000000
202501,4230,1891040.000000,23639.000000
202501,3156,1858188.410000,173208.000000
202501,1194,1841496.000000,91967.000000
202501,6231,1821654.890000,28560.000000
202501,3383,1691877.870000,1646734.000000
202501,3115,1685797.600000,102695.000000
202501,1416,1680440.560000,265362.000000
202501,4371,1628962.950000,45951.000000
202501,3147,1615262.390000,147106.000000
202501,1070,1572630.490000,23990.000000
202501,1125,1565013.490000,404652.000000
202501,1072,1538013.920000,38385.000000
202501,1067,1537351.110000,79484.000000
202501,9732,1519535.680000,6435.000000
202501,9201,1519411.000000,48721.000000
202501,3126,1454129.320000,102.000000
202501,3543,1445283.660000,4015.000000
202501,3354,1419912.000000,1497.000000
202501,2120,1407609.000000,3.000000
202501,3363,1406195.000000,7402.000000
202501,3356,1404497.390000,4841.000000
202501,1455,1378581.790000,96417.000000
202501,1993,1362521.000000,7850.000000
202501,1154,1346832.530000,60925.000000
202501,1069,1296598.190000,22790.000000
202501,2109,1283088.050000,6564.000000
202501,1084,1243534.370000,25273.000000
202501,1936,1219712.620000,33054.000000
202501,3549,1183366.720000,1836.000000
202501,1108,1175109.940000,43075.000000
202501,9716,1164221.230000,1593.000000
202501,4237,1073475.840000,3626.000000
202501,2133,1044130.560000,41836.000000
202501,1100,1037047.200000,37054.000000
202501,2147,1036227.170000,2479.000000
202501,9423,1012805.760000,18761.000000
202501,3138,1007092.000000,28401.000000
202501,3602,1001819.700000,23420.000000
202501,1404,994821.170000,53012.000000
