mois_traitement,annee_soins,mois_soins,remboursement_part_legale_eur
202501,0000,00,1197106450.900000
202501,0001,01,258.640000
202501,2001,07,0.000000
202501,2001,11,0.000000
202501,2002,09,0.000000
202501,2005,01,0.000000
202501,2005,02,72.280000
202501,2005,03,-72.280000
202501,2006,01,80.020000
202501,2006,12,0.000000
202501,2007,01,0.000000
202501,2007,07,-387.790000
202501,2007,08,387.790000
202501,2007,11,0.000000
202501,2008,01,0.000000
202501,2008,03,0.000000
202501,2008,04,0.000000
202501,2008,05,0.000000
202501,2008,06,-365.400000
202501,2008,08,365.400000
202501,2008,10,-950.040000
202501,2008,11,-182.700000
202501,2008,12,1132.740000
202501,2009,01,0.000000
202501,2009,02,0.000000
202501,2009,03,0.000000
202501,2009,11,0.000000
202501,2010,02,0.000000
202501,2010,04,111.180000
202501,2010,05,-111.180000
202501,2010,06,380.330000
202501,2010,07,-5335.000000
202501,2010,08,3007.000000
202501,2010,09,-630.500000
202501,2010,10,3928.500000
202501,2010,11,-1018.500000
202501,2011,04,53.840000
202501,2011,10,0.000000
202501,2012,04,493.880000
202501,2012,06,218.690000
202501,2012,07,74.160000
202501,2012,09,-455.080000
202501,2012,10,14406.000000
202501,2012,12,211.880000
202501,2013,01,-2508.300000
202501,2013,02,1560.720000
202501,2013,03,947.580000
202501,2013,06,45.300000
202501,2013,08,-7.500000
202501,2013,09,243216.040000
202501,2013,10,2101.740000
202501,2013,11,1070.360000
202501,2013,12,0.000000
202501,2014,01,-1.500000
202501,2014,03,-1.000000
202501,2014,04,293.260000
202501,2014,05,18821.010000
202501,2014,06,163.240000
202501,2014,07,145.500000
202501,2014,08,67.680000
202501,2014,09,812.730000
202501,2014,10,321.620000
202501,2014,11,776.000000
202501,2014,12,588.420000
202501,2015,01,856.400000
202501,2015,02,1205.620000
202501,2015,03,77562.980000
202501,2015,04,157.120000
202501,2015,05,635.500000
202501,2015,06,1824.840000
202501,2015,07,2706.600000
202501,2015,08,2486.460000
202501,2015,09,1403.040000
202501,2015,10,2828.590000
202501,2015,11,-225.800000
202501,2015,12,113558.250000
202501,2016,01,-12370.640000
202501,2016,02,-199.780000
202501,2016,03,94965.760000
202501,2016,04,8612.410000
202501,2016,05,22745.680000
202501,2016,06,35036.730000
202501,2016,07,3638.710000
202501,2016,08,2495.700000
202501,2016,09,5983.270000
202501,2016,10,38835.490000
202501,2016,11,38032.260000
202501,2016,12,18074.500000
202501,2017,01,19404.700000
202501,2017,02,29475.580000
202501,2017,03,23280.430000
202501,2017,04,21472.240000
202501,2017,05,14897.460000
202501,2017,06,9910.080000
202501,2017,07,11953.860000
202501,2017,08,7372.090000
202501,2017,09,5651.080000
202501,2017,10,5638.560000
202501,2017,11,1828.370000
202501,2017,12,652.460000
202501,2018,01,8018.350000
202501,2018,02,10949.000000
202501,2018,03,137935.150000
202501,2018,04,-49331.550000
202501,2018,05,3542.770000
202501,2018,06,13990.160000
202501,2018,07,21575.400000
202501,2018,08,13670.520000
202501,2018,09,153753.170000
202501,2018,10,7167.380000
202501,2018,11,25449.990000
202501,2018,12,7082.690000
202501,2019,01,757.340000
202501,2019,02,204834.910000
202501,2019,03,-40385.430000
202501,2019,04,1321.890000
202501,2019,05,18407.490000
202501,2019,06,-917.520000
202501,2019,07,477983.610000
202501,2019,08,7356.850000
202501,2019,09,9363.930000
202501,2019,10,-18770.960000
202501,2019,11,43586.560000
202501,2019,12,98165.080000
202501,2020,01,124814.600000
202501,2020,02,105104.670000
202501,2020,03,273989.970000
202501,2020,04,15945.250000
202501,2020,05,-3495.220000
202501,2020,06,-20345.870000
202501,2020,07,-2805.310000
202501,2020,08,11099.150000
202501,2020,09,47403.540000
202501,2020,10,10303.140000
202501,2020,11,35813.610000
202501,2020,12,517527.010000
202501,2021,01,-45657.850000
202501,2021,02,66630.850000
202501,2021,03,202505.330000
202501,2021,04,138263.270000
202501,2021,05,27448.270000
202501,2021,06,62353.530000
202501,2021,07,20812.540000
202501,2021,08,14668.720000
202501,2021,09,317053.530000
202501,2021,10,111462.560000
202501,2021,11,121362.890000
202501,2021,12,95436.940000
202501,2022,01,-375891.820000
202501,2022,02,56509.760000
202501,2022,03,436565.910000
202501,2022,04,245770.510000
202501,2022,05,189881.630000
202501,2022,06,275548.860000
202501,2022,07,399787.430000
202501,2022,08,-1415.070000
202501,2022,09,696834.530000
202501,2022,10,1236725.030000
202501,2022,11,1322409.840000
202501,2022,12,1890135.590000
202501,2023,01,1252030.080000
202501,2023,02,2611656.140000
202501,2023,03,2872919.660000
202501,2023,04,3079366.580000
202501,2023,05,3146587.130000
202501,2023,06,3339913.610000
202501,2023,07,4478920.550000
202501,2023,08,3417618.470000
202501,2023,09,5367000.370000
202501,2023,10,6195132.700000
202501,2023,11,6785115.860000
202501,2023,12,9549977.500000
202501,2024,01,14160073.190000
202501,2024,02,15842318.020000
202501,2024,03,21076523.940000
202501,2024,04,24700249.260000
202501,2024,05,29082434.520000
202501,2024,06,40769735.080000
202501,2024,07,56459288.720000
202501,2024,08,71343704.180000
202501,2024,09,139980421.250000
202501,2024,10,299037799.440000
202501,2024,11,807599902.240000
202501,2024,12,3477107040.050000
202501,2025,01,7085023829.260000
