mois_traitement,code_prestation,remboursement_part_legale_eur,libelle_prestation
202501,3313,1514760560.400000,PHARMACIE 65%
202501,2111,728271584.310000,FRAIS D HEBERGEMENT ET ENVIRONNEMENT EN GHS
202501,7111,696380511.720000,PENSION INVALIDITE AVANTAGES DE BASE
202501,3311,674070023.370000,PHARMACIE 100%
202501,6111,592742929.820000,IJ NORMALES -3 MOIS
202501,1110,482813052.510000,CONSULTATION MEDECINE GENERALE
202501,1352,430125393.640000,ACTES TECHNIQUES MEDICAUX  (hors IMAGERIE) CCAM
202501,6112,417343103.940000,IJ NORMALES +3MOIS
202501,6115,399330145.250000,IJ MAJOREES -3MOIS
202501,3111,327488672.300000,ACTES EN AMI
202501,3211,325521237.950000,ACTES DE BIOLOGIE
202501,8111,302182214.530000,RENTES DE VICTIME
202501,4214,249558324.730000,TAXIS
202501,1351,223380601.580000,ACTE D'IMAGERIE (hors ECHOGRAPHIE) CCAM
202501,2351,214805813.480000,FORFAIT TECHNIQUE NORMAL IRMN -SCANNERS
202501,3514,213473969.010000,MATERIELS ET APPAREILS POUR TRAITEMENTS DIVERS (CHAP. 3)
202501,1324,181373083.230000,ACTE D'ECHOGRAPHIE CCAM
202501,6122,172852764.120000,IJ POSTNATALES
202501,3512,171218258.400000,AUTRES MATERIELS POUR TRAITEMENTS A DOMICILE (CHAP. 1)
202501,3317,168518139.430000,PHARMACIE HOSPITALIERE A 100%
202501,3511,160126175.460000,"APPAREILS D  ASSISTANCE RESPIRATOIRE,OXYGENOTHERAPIE A DOMICILE"
202501,1321,156336983.070000,ACTE DE CHIRURGIE CCAM
202501,1103,148872040.080000,AVIS PONCTUEL DE CONSULTANT
202501,4212,145764087.860000,AMBULANCES AGREEES
202501,3386,128160231.980000,HONO DISP 7
202501,3107,123321401.830000,SOINS INFIRMIERS EXTERNALISES (PEC INTERMEDIAIRE)
202501,3320,119724617.050000,PHARMACIE HOSPITALIERE EN SUS DU GHS
202501,2192,118301848.190000,DOTATION POPULATIONNELLE SSR
202501,3106,115831521.530000,SOINS INFIRMIERS EXTERNALISES (PEC LOURDE)
202501,3312,114366321.640000,PHARMACIE PH4
202501,8113,107904783.730000,RENTES DE CONJOINT SURVIVANT
202501,3161,106364870.550000,MK-REEDUC AFFECTIONS SUR 2 TERRITOIRES
202501,2211,104546185.660000,FRAIS DE SEJOUR
202501,2110,97478016.310000,FRAIS SEJOUR SSR
202501,1842,90702961.580000,INDEMNITES FORFAITAIRES DE DEPLACEMENT DES AUXILIAIRES MEDICAUX ET ASSIMILES
202501,2113,90313208.130000,GROUPE HOMOGENE DE TARIFS
202501,6121,89811142.710000,IJ PRENATALES
202501,1112,84850272.920000,CONSULTATION COTEE CS
202501,1848,81715951.570000,INDEMNITES FORFAITAIRES DEPLACEMENT INFIRMIERS
202501,3551,79397340.370000,"IMPLANT INTERNE (CHAP. 1, 2 ET 3)"
202501,1451,78465457.380000,SOINS DENTAIRES
202501,4213,77887044.040000,VEHICULES SANITAIRES LEGERS (VSL)
202501,3108,76875154.910000,SOINS INFIRMIERS EXTERNALISES (PEC LEGERE)
202501,2200,71246977.760000,DOTATION FILE ACTIVE PSY
202501,1323,69556719.850000,ACTE D'ANESTHESIE CCAM
202501,3366,68184176.190000,HONORAIRE DE DISPENSATION MEDICAMENTS SPECIFIQUES
202501,3132,62713627.680000,ACTES DES ORTHOPHONISTES
202501,3515,60178794.700000,ARTICLES DE PANSEMENTS (CHAP. 4)
202501,2160,58442789.000000,MISSION D'INTERET GENERAL SSR
202501,6117,58377764.100000,"IJ PARTIELLE,  PERTE DE SALAIRE -3MOIS"
202501,2161,56621777.570000,FORFAIT MISSION D INTERET GENERAL D AIDE A LA CONTRACTUALISATION
202501,6212,53670645.180000,IJ CONGE MATERNITE AU PERE
202501,3148,52326954.980000,MK-REEDUC AFF NEURO MUSC OU RHUM INFLAM
202501,1424,52188934.040000,TRAITEMENTS D  ORTHODONTIE PRATIQUES PAR LE CHIRURGIEN-DENTISTE (ET ETO POUR LA CRPCEN)
202501,1453,51587452.940000,PROPHYLAXIE BUCCO DENTAIRE CCAM
202501,2132,44618758.800000,FORFAIT D HEMODIALYSE EN UNITE DE DIALYSE MEDICALISEE
202501,6118,43111763.810000,"IJ PARTIELLE,  PERTE DE SALAIRE +3MOIS"
202501,3157,41444626.730000,MK-REEDUC DEAMBULATION SUJET AGEE
202501,3152,41084025.620000,MK-REEDUC RACHIS NON OPERE
202501,1113,40992176.290000,CONSULTATION COTEE CNP
202501,3120,40546384.660000,SOINS INFIRMIERS EXTERNALISES
202501,2352,40364849.140000,FORFAIT TECHNIQUE REDUIT IRMN -SCANNERS
202501,3521,32222094.230000,ORTHESES (PETIT APPAREILLAGE) (CHAP. 1)
202501,4232,30273190.320000,INTERVENTION DURANT GARDE
202501,1111,29451765.460000,CONSULTATION COTEE C
202501,1325,28952964.500000,ACTE DE CHIRURGIE CD CCAM
202501,3545,28846435.780000,ORTHOPROTHESES (CHAP 7.)
202501,2251,28018473.880000,FORFAIT JOURNALIER
202501,1353,27206997.960000,ACTE D'IMAGERIE CD CCAM
202501,7112,26194364.530000,PENSION INVALIDITE ALLOCATIONS SUPPLEMENTAIRES
202501,2135,24718377.880000,FORFAIT D AUTODIALYSE ASSISTEE
202501,3122,24140523.830000,ACTES EN AMK
202501,1911,24106721.450000,ACTES DES SAGES-FEMMES
202501,1210,24077356.250000,VISITE MEDECINE GENERALE
202501,3364,24067760.330000,HONORAIRE MEDICAMENT REMBOURSABLE
202501,3365,23861153.970000,HONORAIRE DISPENSATION EN LIEN AVEC AGE
202501,3116,23405140.570000,MAJORATION POUR ACTE UNIQUE
202501,3133,23109949.140000,ACTES DES ORTHOPTISTES
202501,3522,23087122.440000,DIVERS ORTHESES
202501,2213,22389872.140000,FRAIS DE SEJOUR IME
202501,3163,22040723.290000,MK-REEDUC MBRE INF NON OPERE SANS REF
202501,1192,21141535.330000,TELECONSULTATION GENERALISTE
202501,1470,20135615.830000,ENDODONTIE
202501,3146,18489461.430000,MK-REEDUC AFF RESPIRATOIRES MAX FACIAL ET ORL
202501,1927,18257628.610000,REMUNERATION CPTS
202501,1454,18125807.450000,CONSULTATION CD
202501,1088,17529987.350000,AIDE ASSISTANT MEDICAL
202501,3117,17513164.210000,MAJORATION DE COORDINATION ET D'ENVIRONNEMENT DE SOIN INFIRMIER
202501,3390,17326505.040000,HONO DISP GC 7
202501,3165,16228572.640000,MK-REEDUC MBRE SUP NON OPERE SANS REF
202501,2239,16174537.000000,FORFAIT ANNUEL D URGENCE
202501,1126,16095905.170000,MAJORATION DE COORDINATION SPECIALISTES
202501,3341,16052518.930000,PHARMACIE 15%
202501,2152,15644418.840000,SUPPLEMENT SURVEILLANCE CONTINUE
202501,3336,15452340.940000,PHARMACIE SOUS ATU SEJOUR
202501,1214,15444644.700000,VISITE LONGUE ET COMPLEXE
202501,1812,15184917.290000,IK MONTAGNE
202501,7113,15144541.050000,PENSION INVALIDITE MAJORATIONS POUR ASSISTANCE D  UNE TIERCE PERSONNE
202501,4511,15088594.810000,CAPITAL DECES
202501,2169,14670073.510000,DOTATION POPULATIONNELLE PSY
202501,1811,14449272.480000,IK PLAINE
202501,3561,13317274.980000,VEHICULES POUR HANDICAPES PHYSIQUES
202501,3318,12429742.210000,PHARMACIE HOSPITALIERE A 65%
202501,1401,12340264.410000,PROTHESE FIXE RAC 0
202501,4231,12047730.700000,COMPLEMENT MINIMUM GARANTI
202501,2151,11940446.150000,SUPPLEMENT REANIMATION
202501,3588,11788056.050000,PROTHESE AUDITIVE PANIER 2 - AVEC RESTE A CHARGE - OREILLE GAUCHE
202501,3385,11753513.060000,HONO DISP 4
202501,3589,11697227.170000,PROTHESE AUDITIVE PANIER 2 - AVEC RESTE A CHARGE - OREILLE DROITE
202501,3552,11658782.150000,IMPLANT MU PAR ELECTRICITE (CHAP. 4)
202501,2148,11337949.370000,SUPPLEMENT  JOURNALIER ZONE HAUTE
202501,2153,11310006.650000,FORFAIT SOINS INTENSIFS
202501,3513,11186501.730000,MATERIELS ET APPAREILS DE CONTENTION ET DE MAINTIEN (CHAP. 2)
202501,1412,10526393.550000,PROTHESE AMOVIBLE RAC MODERE
202501,1224,10155142.770000,MD (CRITERES MEDICAUX)
202501,2263,9568895.470000,FORFAIT IFAQ
202501,1418,9539704.890000,INLAY CORE RAC 0
202501,1354,9276497.140000,ACTE TECHNIQUE MEDICAL CD CCAM
202501,8119,9235426.380000,MAJORATION FAUTE INEXCUSABLE RENTE CONJOINT
202501,1991,9049125.780000,REMUNERATION REGULATION
202501,1195,8967254.730000,FOND INNOVATION - PAIEMENT
202501,3155,8305821.350000,MK-REEDUC MBRE INF OPERE SOUS REF
202501,3330,8132995.350000,ECART INDEMNISABLE RETROCESSION
202501,3162,8028846.260000,MK-REEDUC MBRE INF OPERE SANS REF
202501,1109,7866652.330000,CONSULTATION SPECIALISTE MEDECINE GENERALE
202501,4233,7825123.450000,INTERVENTION HORS GARDE
202501,8226,7755189.510000,INDEMNITE EN CAPITAL ACCIDENT DU TRAVAIL
202501,3544,7745485.870000,CHAUSSURES ORTHOPEDIQUES (CHAP. 6)
202501,1933,7577468.760000,MAJORATION CONSULTATION REGULEE  DE NUIT
202501,1417,7545856.660000,COURONNE ZIRCONE RAC 0
202501,1101,7418808.460000,AVIS PONCTUEL DE CONSULTANT PUPH
202501,3164,7276028.320000,MK-REEDUC MBRE SUP OPERE SANS REF
202501,3326,7134054.830000,PREPARATION MAGISTRALE REMBOURSABLE
202501,3134,7007789.070000,ACTE DE PEDICURE-PODOLOGUE (DIABETIQUE)
202501,1476,6756895.710000,"PROTHESE FIXE CERAMIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE FIXE CERAMIQUE TARIF LIBRE"
202501,3361,6734550.000000,GARDE PHARMACIE NUIT
202501,3154,6646007.430000,MK-REEDUC AFFECTIONS VASCULAIRES
202501,1091,6584113.620000,EXAMEN OBLIGATOIRE ENFANT COD
202501,8118,6536986.430000,MAJORATION FAUTE INEXCUSABLE RENTE VICTIME
202501,1114,6461426.740000,CONSULTATION SPECIFIQUE CARDIOLOGIE
202501,3577,6373757.440000,DELIVRANCE TAG PHIE
202501,4331,6367462.980000,"REMBOURSEMENTS DE SOINS A L  ETRANGER (ET1 A ET6 ET ET8 A ET9, ETB ETA, ETH, ETT, ETP, ETX )"
202501,1041,6331373.950000,CONSULT. PSYCHIATRE NEUROLOGUE
202501,2112,6279748.750000,FRAIS DE SEJOUR SUPPLEMENTAIRE AU GHS
202501,4215,6216052.560000,VEHICULES PERSONNELS
202501,1046,6210622.390000,TELECONSULTATION SPECIALISTE
202501,3223,6012089.180000,PRELEVEMENT
202501,3160,5934408.960000,MK-REEDUC MBRE SUP NON OPERE SOUS REF
202501,3381,5847549.360000,PREPARATION PHARMACEUTIQUE INDIVIDUALISEE (ALLERGENES)
202501,6126,5828260.750000,FORFAIT GROSSESSE TAUX PLEIN TI
202501,1102,5691478.390000,AVIS PONCTUEL DE CONSULTANT PSYCHIATRE
202501,1312,5618926.090000,ACTES DE SPECIALITE EN K
202501,3151,5577293.320000,MK-REEDUC ABDO ET PERINEOSPHINCTERIENNE
202501,1903,5417184.390000,MAJORATION ENFANT GENERALISTE
202501,1121,5405537.060000,HONORAIRE DE SURVEILLANCE
202501,1090,5263118.580000,EXAMEN OBLIGATOIRE ENFANT COH
202501,8115,5143234.140000,RENTES D  ORPHELIN
202501,9202,5095625.090000,SEANCE DE SUIVI
202501,1048,5091530.770000,CONSULTATION INIT MT ALD
202501,1472,5059480.750000,PARODONTOLOGIE
202501,6215,5019772.930000,IJ CONGE POSTNATAL PAMC
202501,3352,4992458.290000,PREPARATION MAGISTRALE HOSPITALIRE
202501,1107,4928245.210000,CONSULTATION TRES COMPLEXE ENFANT
202501,1465,4766922.900000,IMPLANTOLOGIE - CCAM
202501,1935,4698735.030000,"MAJORATION CONSULTATION REGULEE DIMANCHE, JOURS FERIES ET ASSIMILES"
202501,1116,4684482.840000,MAJORATION FORFAITAIRE TRANSITOIRE
202501,2303,4589800.760000,SUPPLEMENT TRANSPORT PROVISOIRE SSR
202501,1420,4566258.520000,PROTHESE AMOVIBLE DE TRANSITION RAC 0
202501,3125,4557678.870000,ACTES DE KINESITHERAPIE OSTEO-ARTICULAIRE
202501,1140,4317215.160000,CONSULTATION SPECIFIQUE DE DEPISTAGE
202501,3331,4308515.120000,VACCIN ANTI-GRIPPE
202501,2138,4275549.170000,FORFAIT DE DIALYSE PERITONEALE CONTINUE AMBULATOIRE (DPCA)
202501,3518,4247084.340000,APPAREIL GENERATEUR D AEROSOL
